classifier,scoring,train score,test score,cv time,average fit time,best params,relative fit time,scoring error
Logistic Regression,accuracy,0.8987,0.8967,48.0158,15.5567,"{'clf__C': 0.01, 'clf__solver': 'lbfgs'}",0.022151554469070096,0.0020000000000000018
Logistic Regression,precision,0.8987,0.8967,48.2283,15.6088,"{'clf__C': 0.01, 'clf__solver': 'lbfgs'}",0.022225740896001166,0.0020000000000000018
Logistic Regression,recall,0.8987,0.8967,47.7691,15.4465,"{'clf__C': 0.01, 'clf__solver': 'lbfgs'}",0.021994638072759087,0.0020000000000000018
Logistic Regression,f1,0.8987,0.8967,47.9263,15.5063,"{'clf__C': 0.01, 'clf__solver': 'lbfgs'}",0.02207978871249954,0.0020000000000000018
Decision Tree,accuracy,0.8811,0.8801,7.3261,1.816,"{'clf__max_depth': None, 'clf__min_impurity_decrease': 0.01, 'clf__min_samples_split': 0.1}",0.0025858455145263003,0.0010000000000000009
Decision Tree,precision,0.8811,0.8801,7.3145,1.779,"{'clf__max_depth': None, 'clf__min_impurity_decrease': 0.01, 'clf__min_samples_split': 0.1}",0.0025331603360915682,0.0010000000000000009
Decision Tree,recall,0.8811,0.8801,7.3262,1.7871,"{'clf__max_depth': None, 'clf__min_impurity_decrease': 0.01, 'clf__min_samples_split': 0.1}",0.00254469411839755,0.0010000000000000009
Decision Tree,f1,0.8811,0.8801,7.3107,1.7768,"{'clf__max_depth': None, 'clf__min_impurity_decrease': 0.01, 'clf__min_samples_split': 0.1}",0.002530027703860314,0.0010000000000000009
K-Nearest Neighbors,accuracy,1.0,0.8636,188.2511,2.7943,"{'clf__n_neighbors': 1, 'clf__p': 1, 'clf__weights': 'uniform'}",0.003978870110815441,0.13639999999999997
K-Nearest Neighbors,precision,1.0,0.8636,183.2287,2.8229,"{'clf__n_neighbors': 1, 'clf__p': 1, 'clf__weights': 'uniform'}",0.004019594329821748,0.13639999999999997
K-Nearest Neighbors,recall,1.0,0.8636,185.4665,2.8175,"{'clf__n_neighbors': 1, 'clf__p': 1, 'clf__weights': 'uniform'}",0.00401190514161776,0.13639999999999997
K-Nearest Neighbors,f1,1.0,0.8636,187.1774,2.8436,"{'clf__n_neighbors': 1, 'clf__p': 1, 'clf__weights': 'uniform'}",0.004049069551270368,0.13639999999999997
Support Vector Machines,accuracy,0.9246,0.8984,510.5164,155.3272,"{'clf__gamma': 0.1, 'clf__kernel': 'rbf'}",0.22117408777749425,0.0262
Support Vector Machines,precision,0.9246,0.8984,515.4802,156.9149,"{'clf__gamma': 0.1, 'clf__kernel': 'rbf'}",0.22343485150184084,0.0262
Support Vector Machines,recall,0.9246,0.8984,513.0883,156.2768,"{'clf__gamma': 0.1, 'clf__kernel': 'rbf'}",0.22252624576240296,0.0262
Support Vector Machines,f1,0.9246,0.8984,503.6589,153.2104,"{'clf__gamma': 0.1, 'clf__kernel': 'rbf'}",0.21815992600153097,0.0262
